cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
7OK,3.3919699454307556E2,-6.901000000000003E-1,22,11,6,6,2,2,0,1.7391304347826086E-1,23,2,0,8.222030000000002E1,36,0,0,0,0,0,0,3,9,1,0,37,0,0,0,0,2.0229999999999998E2,1.0793169085322468E1,9.652367867411942E-1,1.0181887422424158E1,1.8340264650283554E1,7.26643598615917,1.84E2,2.11E2
85Y,4.913929908275604E2,4.175400000000001,30,11,5,5,2,1,0,2.1621621621621623E-1,37,2,0,1.4308619999999996E2,56,0,0,0,0,0,0,3,9,1,0,59,0,0,0,0,1.9565E2,1.1708466732845263E1,9.837358951246861E-1,1.0902042805260495E1,2.704601899196494E1,1.1588477366255145E1,2.98E2,3.4E2
8AA,5.64494989991188E2,6.821999999999998,37,11,5,4,0,1,0,1.5555555555555556E-1,45,3,0,1.761816E2,65,0,0,0,0,0,0,6,7,1,0,70,0,0,0,0,2.0263999999999996E2,1.8079105710250676E1,9.717806230009898E-1,1.7604101874783176E1,3.0044444444444444E1,1.2545333036310982E1,3.51E2,4.02E2
8AG,5.825099896192551E2,7.349500000000001,38,13,6,5,2,1,0,1.5217391304347827E-1,46,3,0,1.7380990000000008E2,68,0,0,0,0,0,0,6,8,1,0,73,0,0,0,0,2.1904E2,1.637149439658977E1,9.80475337541633E-1,1.569750759630362E1,3.1001890359168243E1,1.2416326530612245E1,3.71E2,4.27E2
8AH,3.7527799439430237E2,2.2026999999999997,27,12,5,4,2,2,0,1.4814814814814814E-1,27,3,0,1.0370550000000003E2,43,0,0,0,0,0,0,5,7,1,0,45,0,0,0,0,2.0153999999999996E2,1.339183997728318E1,9.704613385554978E-1,1.2799457479899742E1,1.9753086419753085E1,7.197278911564626,2.28E2,2.49E2
8AN,3.4623999536037445E2,2.1960999999999995,23,11,5,3,2,1,0,1.6E-1,25,3,0,9.287920000000003E1,38,0,0,0,0,0,0,6,6,1,0,40,0,0,0,0,2.0895E2,1.2888092275268077E1,9.760138849325993E-1,1.2204824720457834E1,1.78112E1,6.718836565096953,2.01E2,2.29E2
8BA,4.091129946708679E2,3.2494,23,11,3,2,1,1,0,1.6E-1,25,3,0,9.176140000000001E1,35,1,0,1,0,0,0,5,6,1,0,37,0,0,0,0,1.9682E2,1.3906724176656585E1,9.732715716568942E-1,1.3288636986470102E1,1.78112E1,6.718836565096953,1.9E2,2.16E2
8DT,4.052999930381775E2,2.2180999999999993,28,11,5,5,2,1,0,2.857142857142857E-1,28,2,0,1.1349670000000002E2,47,0,0,0,0,0,0,3,9,1,0,48,0,0,0,0,1.9564999999999998E2,1.2707406073037122E1,9.811479138319904E-1,1.1951570190275216E1,2.328061224489796E1,1.015625E1,2.42E2,2.62E2
8MG,3.61250994682312E2,1.9731999999999998,24,11,5,4,2,1,0,1.5384615384615385E-1,26,3,0,9.785709999999999E1,40,0,0,0,0,0,0,5,7,1,0,42,0,0,0,0,2.0128E2,1.0412619238380994E1,9.692742076868347E-1,9.742697118940809,1.8781065088757398E1,6.9575,2.14E2,2.38E2
8OG,3.6322299456596375E2,6.729999999999997E-1,22,11,6,5,2,1,0,1.5384615384615385E-1,26,3,0,9.350849999999998E1,38,0,0,0,0,0,0,5,8,1,0,40,0,0,0,0,2.2125E2,1.2339472383018064E1,9.724844798826044E-1,1.1688605976012749E1,1.8781065088757398E1,6.9575,2.04E2,2.35E2
